TIME_SYSTEM_ON, GAIT_PHASE, GAIT_SUBPHASE, ACTUATOR_POSITION, TORQUE_ESTIMATE, ACTUATOR_SETPOINT, LOADCELL, LINEAR_ACC_X_LOCAL, LINEAR_ACC_Y_LOCAL, LINEAR_ACC_Z_LOCAL, GRAVITY_VECTOR_X, GRAVITY_VECTOR_Y, GRAVITY_VECTOR_Z, KNEE_ANGLE
346.00000000, 1.00000000, 3.00000000, 30.33259583, -0.40452692, -0.69006562, -0.18643188, -0.46000001, -0.25000000, 0.05000000, -7.19999981, 2.61999989, 6.09999990, 30.24769592
346.00000000, 1.00000000, 3.00000000, 30.28865051, -0.23002186, -1.21358073, -0.33331299, -0.46000001, -0.18000001, 0.09000000, -7.38000011, 2.57999992, 5.90000010, 30.24037170
346.00000000, 1.00000000, 3.00000000, 30.28865051, -0.31726873, -0.95180619, -0.30743408, -0.47999999, 0.01000000, -0.01000000, -7.50000000, 2.54999995, 5.75000000, 30.22206116
346.00000000, 1.00000000, 3.00000000, 30.33259583, -0.49173889, -0.95180619, -1.05184937, -0.46000001, 0.06000000, 0.02000000, -7.57999992, 2.53999996, 5.65999985, 30.22939873
346.00000000, 1.00000000, 3.00000000, 30.31062317, -0.31726873, -0.95180619, -0.65130615, -0.30000001, 0.19000000, -0.00000000, -7.61000013, 2.53999996, 5.61999989, 30.24403381
346.00000000, 1.00000000, 3.00000000, 30.31062317, -0.40452692, -0.95180619, -0.01425171, -0.19000000, 0.25000000, 0.00000000, -7.61000013, 2.54999995, 5.61000013, 30.22572327
346.00000000, 1.00000000, 3.00000000, 30.33259583, -0.31726873, -0.16664881, 0.08981323, 0.02000000, 0.20999999, 0.23000000, -7.59999990, 2.55999994, 5.61000013, 30.26600647
346.00000000, 1.00000000, 3.00000000, 30.33259583, -0.31726873, -0.42834955, 0.29812622, 0.14000000, 0.12000000, 0.34999999, -7.59999990, 2.56999993, 5.61000013, 30.26600647
346.00000000, 1.00000000, 3.00000000, 30.28865051, -0.31726873, -0.42834955, -0.43978882, 0.19000000, 0.11000000, 0.46000001, -7.61999989, 2.57999992, 5.59000015, 30.22206116
346.00000000, 1.00000000, 3.00000000, 30.37652588, -0.23002186, -0.69006562, -0.13565063, 0.20999999, 0.07000000, 0.46000001, -7.63999987, 2.56999993, 5.55000019, 30.32824707
346.00000000, 1.00000000, 3.00000000, 30.35455322, 0.03168200, -0.95180619, -0.42568970, 0.12000000, 0.09000000, 0.40000001, -7.67999983, 2.55999994, 5.51000023, 30.36120415
346.00000000, 1.00000000, 3.00000000, 30.28865051, -0.31726873, -0.95180619, -0.52301025, 0.07000000, 0.09000000, 0.37000000, -7.71999979, 2.53999996, 5.46000004, 30.22206116
346.00000000, 1.00000000, 3.00000000, 30.35455322, -0.23002186, -0.69006562, -1.04754639, 0.03000000, 0.06000000, 0.27000001, -7.76000023, 2.51999998, 5.40999985, 30.30627441
346.00000000, 1.00000000, 3.00000000, 30.31062317, -0.31726873, 0.35656247, -0.48391724, -0.00000000, 0.06000000, 0.28999999, -7.80000019, 2.50000000, 5.36000013, 30.24403381
346.00000000, 1.00000000, 3.00000000, 30.35455322, -0.31726873, -1.47521663, -0.46002197, -0.05000000, -0.00000000, 0.30000001, -7.84000015, 2.48000002, 5.32000017, 30.28796387
346.00000000, 1.00000000, 3.00000000, 30.37652588, -0.23002186, -1.21358073, -0.55407715, -0.03000000, 0.00000000, 0.28999999, -7.86999989, 2.45000005, 5.28999996, 30.32824707
346.00000000, 1.00000000, 3.00000000, 30.33259583, -0.23002186, -0.42834955, -0.68298340, 0.01000000, 0.03000000, 0.25000000, -7.90999985, 2.40000010, 5.25000000, 30.28431702
346.00000000, 1.00000000, 3.00000000, 30.33259583, -0.31726873, -0.95180619, 0.19421387, 0.07000000, 0.10000000, 0.36000001, -7.96000004, 2.34999990, 5.19999981, 30.26600647
346.00000000, 1.00000000, 3.00000000, 30.33259583, -0.23002186, -1.47521663, -0.89001465, 0.04000000, 0.16000000, 0.38000000, -8.02000046, 2.26999998, 5.13999987, 30.28431702
346.00000000, 1.00000000, 3.00000000, 30.33259583, -0.14278319, -0.95180619, -0.43389893, 0.06000000, 0.17000000, 0.41999999, -8.09000015, 2.19000006, 5.05999994, 30.30262566
346.00000000, 1.00000000, 3.00000000, 30.31062317, -0.49173889, -0.69006562, -0.17764282, 0.03000000, 0.01000000, 0.37000000, -8.18000031, 2.09999990, 4.96000004, 30.20742607
346.00000000, 1.00000000, 3.00000000, 30.35455322, -0.23002186, -1.21358073, -0.53820801, -0.00000000, 0.05000000, 0.34000000, -8.27000046, 1.99000001, 4.84000015, 30.30627441
346.00000000, 1.00000000, 3.00000000, 30.31062317, -0.40452692, -0.95180619, 0.52859497, -0.01000000, 0.11000000, 0.28999999, -8.38000011, 1.87000000, 4.71000004, 30.22572327
346.00000000, 1.00000000, 3.00000000, 30.33259583, -0.31726873, -0.69006562, -0.37307739, 0.01000000, 0.08000000, 0.37000000, -8.47999954, 1.73000002, 4.57000017, 30.26600647
346.00000000, 1.00000000, 3.00000000, 30.33259583, -0.05554960, -1.21358073, 0.02481079, 0.05000000, -0.08000000, 0.44999999, -8.60000038, 1.57000005, 4.40000010, 30.32093620
346.00000000, 1.00000000, 3.00000000, 30.28865051, -0.31726873, -0.69006562, -0.71371460, 0.09000000, -0.04000000, 0.49000001, -8.72000027, 1.39999998, 4.21999979, 30.22206116
346.00000000, 1.00000000, 3.00000000, 30.37652588, -0.14278319, -0.69006562, -0.29248047, 0.01000000, -0.06000000, 0.37000000, -8.84000015, 1.22000003, 4.03000021, 30.34655571
346.00000000, 1.00000000, 3.00000000, 30.31062317, -0.23002186, -1.21358073, -0.18969727, -0.03000000, 0.00000000, 0.49000001, -8.94999981, 1.01999998, 3.82999992, 30.26234436
346.00000000, 1.00000000, 3.00000000, 30.33259583, -0.31726873, -0.42834955, -0.39746094, -0.05000000, -0.23000000, 0.44999999, -9.06000042, 0.82999998, 3.63000011, 30.26600647
346.00000000, 1.00000000, 3.00000000, 30.31062317, -0.23002186, -0.42834955, -0.17681885, -0.02000000, -0.40000001, 0.41000000, -9.14999962, 0.63000000, 3.41000009, 30.26234436
347.00000000, 1.00000000, 3.00000000, 30.28865051, -0.14278319, -0.95180619, -0.20501709, -0.02000000, -0.31999999, 0.11000000, -9.25000000, 0.44000000, 3.19000006, 30.25868034
347.00000000, 1.00000000, 3.00000000, 30.24470520, -0.05554960, -0.95180619, -0.38885498, 0.01000000, -0.10000000, 0.19000000, -9.32999992, 0.25999999, 2.94000006, 30.23304558
347.00000000, 1.00000000, 3.00000000, 30.31062317, -0.31726873, -0.42834955, -0.82281494, -0.06000000, -0.25000000, 0.28999999, -9.42000008, 0.07000000, 2.68000007, 30.24403381
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.40452692, -0.69006562, -0.82968140, -0.12000000, -0.31000000, 0.33000001, -9.48999977, -0.08000000, 2.41000009, 30.24769592
347.00000000, 1.00000000, 3.00000000, 30.31062317, -0.40452692, -0.42834955, -0.31204224, -0.25999999, -0.31000000, 0.20000000, -9.55000019, -0.23999999, 2.16000009, 30.22572327
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.31726873, -0.16664881, -0.23889160, -0.34000000, -0.25999999, 0.22000000, -9.57999992, -0.38000000, 1.96000004, 30.26600647
347.00000000, 1.00000000, 3.00000000, 30.31062317, -0.49173889, -0.95180619, 0.30947876, -0.28000000, -0.33000001, 0.30000001, -9.60999966, -0.49000001, 1.79999995, 30.20742607
347.00000000, 1.00000000, 3.00000000, 30.35455322, -0.31726873, -1.47521663, 0.04602051, -0.23000000, -0.43000001, 0.38999999, -9.63000011, -0.56999999, 1.65999997, 30.28796387
347.00000000, 1.00000000, 3.00000000, 30.31062317, -0.49173889, -1.21358073, 0.27822876, -0.56000000, -1.14999998, 0.05000000, -9.64999962, -0.63000000, 1.54999995, 30.20742607
347.00000000, 1.00000000, 3.00000000, 30.28865051, -0.49173889, -0.95180619, -0.28793335, -0.69999999, -0.73000002, -0.15000001, -9.65999985, -0.63999999, 1.45000005, 30.18545341
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.66633970, -1.47521663, -0.86560059, -0.57999998, -0.38999999, -0.34000000, -9.67000008, -0.61000001, 1.37000000, 30.19277954
347.00000000, 1.00000000, 3.00000000, 30.35455322, -0.49173889, -1.47521663, -0.36288452, -0.66000003, -0.25999999, -0.33000001, -9.68999958, -0.52999997, 1.32000005, 30.25135612
347.00000000, 1.00000000, 3.00000000, 30.35455322, -0.31726873, -0.95180619, 0.58782959, -0.86000001, -0.23999999, -0.20000000, -9.68999958, -0.38000000, 1.32000005, 30.28796387
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.66633970, -1.73708701, 0.32806396, -0.93000001, -0.41000000, -0.15000001, -9.68999958, -0.18000001, 1.37000000, 30.19277954
347.00000000, 1.00000000, 3.00000000, 30.28865051, -0.66633970, -1.73708701, 0.10504150, -1.22000003, -0.31999999, 0.00000000, -9.68000031, 0.04000000, 1.45000005, 30.14883423
347.00000000, 1.00000000, 3.00000000, 30.26667786, -0.57902902, -1.47521663, 0.37289429, -1.45000005, -0.22000000, 0.07000000, -9.67000008, 0.33000001, 1.50999999, 30.14517021
347.00000000, 1.00000000, 3.00000000, 30.37652588, -0.31726873, -1.47521663, 0.41781616, -1.46000004, 0.25000000, 0.28999999, -9.64999962, 0.63000000, 1.53999996, 30.30993652
347.00000000, 1.00000000, 3.00000000, 30.31062317, -0.57902902, -2.26102257, 0.87472534, -1.28999996, 0.34999999, 0.41000000, -9.61999989, 0.91000003, 1.53999996, 30.18911552
347.00000000, 1.00000000, 3.00000000, 30.31062317, -0.49173889, -1.47521663, 0.61203003, -0.97000003, 0.63999999, 0.58999997, -9.60000038, 1.16999996, 1.51999998, 30.20742607
347.00000000, 1.00000000, 3.00000000, 30.31062317, -0.40452692, -1.21358073, -0.10900879, -0.63000000, 0.63000000, 0.60000002, -9.57999992, 1.39999998, 1.48000002, 30.22572327
347.00000000, 1.00000000, 3.00000000, 30.31062317, -0.75367421, -1.21358073, 0.03900146, -0.33000001, 0.50999999, 0.77999997, -9.56000042, 1.59000003, 1.41999996, 30.15249634
347.00000000, 1.00000000, 3.00000000, 30.28865051, -0.75367421, -1.47521663, 0.06832886, -0.34999999, 0.37000000, 0.73000002, -9.52999973, 1.77999997, 1.35000002, 30.13052368
347.00000000, 1.00000000, 3.00000000, 30.31062317, -0.49173889, -1.73708701, 0.64739990, -0.14000000, 0.05000000, 0.57999998, -9.50000000, 1.97000003, 1.28999996, 30.20742607
347.00000000, 1.00000000, 3.00000000, 30.35455322, -0.66633970, -1.47521663, 0.94247437, 0.07000000, -0.19000000, 0.52999997, -9.47000027, 2.18000007, 1.23000002, 30.21473694
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.66633970, -1.73708701, 0.18893433, 0.28999999, -0.33000001, 0.27000001, -9.42000008, 2.41000009, 1.17999995, 30.19277954
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.31726873, -1.73708701, 0.45617676, 0.43000001, -0.50000000, 0.30000001, -9.35000038, 2.66000009, 1.13000000, 30.26600647
347.00000000, 1.00000000, 3.00000000, 30.31062317, -0.57902902, -1.73708701, 0.90994263, 0.49000001, -0.54000002, 0.33000001, -9.27999973, 2.94000006, 1.09000003, 30.18911552
347.00000000, 1.00000000, 3.00000000, 30.26667786, -0.66633970, -1.21358073, 0.43423462, 0.49000001, -0.63000000, 0.31000000, -9.18999958, 3.22000003, 1.04999995, 30.12686157
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.57902902, -1.99901903, 0.74108887, 0.50000000, -0.57999998, 0.20999999, -9.09000015, 3.50000000, 1.02999997, 30.21108818
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.57902902, -1.47521663, 0.63562012, 0.41999999, -0.57999998, 0.23000000, -8.98999977, 3.74000001, 1.04999995, 30.21108818
347.00000000, 1.00000000, 3.00000000, 30.37652588, -0.49173889, -1.73708701, 0.31204224, 0.38000000, -0.54000002, 0.19000000, -8.89000034, 3.95000005, 1.09000003, 30.27332878
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.31726873, -1.21358073, 0.79104614, 0.38000000, -0.62000000, 0.18000001, -8.81000042, 4.11999989, 1.13999999, 30.26600647
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.75367421, -1.73708701, -0.03408813, 0.44000000, -0.70999998, -0.08000000, -8.72999954, 4.26000023, 1.20000005, 30.17446899
347.00000000, 1.00000000, 3.00000000, 30.31062317, -0.57902902, -1.73708701, 1.02239990, 0.47999999, -0.67000002, -0.06000000, -8.68000031, 4.36000013, 1.25999999, 30.18911552
347.00000000, 1.00000000, 3.00000000, 30.28865051, -0.49173889, -1.99901903, 0.33178711, 0.51999998, -0.61000001, -0.08000000, -8.63000011, 4.44000006, 1.33000004, 30.18545341
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.40452692, -1.21358073, 0.42892456, 0.49000001, -0.60000002, -0.16000000, -8.56999969, 4.51000023, 1.42999995, 30.24769592
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.40452692, -1.99901903, 0.96774292, 0.50000000, -0.49000001, -0.25000000, -8.51000023, 4.57000017, 1.59000003, 30.24769592
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.66633970, -1.47521663, 0.73312378, 0.34999999, -0.38000000, -0.34999999, -8.43999958, 4.61999989, 1.80999994, 30.19277954
347.00000000, 1.00000000, 3.00000000, 30.33259583, -0.75367421, -1.73708701, 0.56411743, 0.40000001, -0.10000000, -0.23000000, -8.34000015, 4.67999983, 2.08999991, 30.17446899
347.00000000, 1.00000000, 3.00000000, 30.28865051, -0.49173889, -1.47521663, 0.61499023, 0.44000000, -0.04000000, 0.01000000, -8.22000027, 4.71999979, 2.43000007, 30.18545341
347.00000000, 1.00000000, 3.00000000, 30.31062317, -0.66633970, -0.95180619, 1.43609619, 0.46000001, 0.04000000, 0.00000000, -8.09000015, 4.76000023, 2.77999997, 30.17080688
347.00000000, 1.00000000, 3.00000000, 30.37652588, -0.40452692, -1.21358073, 0.83886719, 0.37000000, 0.19000000, 0.05000000, -7.94000006, 4.80000019, 3.14000010, 30.29162598
347.00000000, 1.00000000, 3.00000000, 30.28865051, -0.40452692, -1.21358073, 0.78756714, 0.38000000, 0.09000000, -0.08000000, -7.78000021, 4.82000017, 3.48000002, 30.20375061
347.00000000, 1.00000000, 3.00000000, 30.35455322, -0.31726873, -0.69006562, 0.74362183, 0.34000000, 0.01000000, -0.47000000, -7.61999989, 4.84000015, 3.80999994, 30.28796387
