TIME_SYSTEM_ON,ACTIVITY,GAIT_SUBPHASE,ACTUATOR_POSITION,TORQUE_ESTIMATE,ACTUATOR_SETPOINT,LOADCELL,LINEAR_ACC_X_LOCAL,LINEAR_ACC_Y_LOCAL,LINEAR_ACC_Z_LOCAL,GRAVITY_VECTOR_X,GRAVITY_VECTOR_Y,GRAVITY_VECTOR_Z,KNEE_ANGLE
336604561.00000000, 3309570852.00000000, 52.00000000, -248515302317753260141991470039040.00000000, -0.00000000, 1693359018264230786162092933120.00000000, 0.00000000, 0.00000000, 0.00000000, -0.00002920, -1903.32080078, 27.78382111, -1123700386254565149476126720.00000000, 0.00000016
3914.00000000, 0.00000000, 0.00000000, 22.95066833, -5.96542454, 4.09207249, 117.04568481, -11.47999954, 6.15000010, -0.38999999, 9.34000015, 2.82999992, -0.91000003, 73.14329529
3914.00000000, 0.00000000, 0.00000000, 22.92869568, -6.05966091, 3.69280934, 128.46624756, -11.51000023, 5.78999996, -2.29999995, 9.38000011, 2.72000003, -0.80000001, 73.82895660
3914.00000000, 0.00000000, 0.00000000, 22.97264099, -6.05966091, 3.57426453, 131.09771729, -11.11999989, 6.26000023, 1.64999998, 9.42000008, 2.61999989, -0.69999999, 74.45703888
3914.00000000, 0.00000000, 0.00000000, 22.99461365, -5.96542454, 3.96718812, 139.00939941, -9.72999954, 7.01000023, 1.02999997, 9.44999981, 2.52999997, -0.64999998, 75.01198578
3914.00000000, 0.00000000, 0.00000000, 22.97264099, -5.96542454, 3.62119627, 142.39547729, -10.28999996, 7.73000002, 2.14000010, 9.47000027, 2.44000006, -0.61000001, 75.55166626
3914.00000000, 0.00000000, 0.00000000, 22.99461365, -6.24870205, 3.39523911, 141.41030884, -8.72999954, 7.96999979, 2.59999990, 9.48999977, 2.36999989, -0.56999999, 75.97795868
3914.00000000, 0.00000000, 0.00000000, 22.92869568, -6.24870205, 4.33877420, 135.83654785, -9.52999973, 8.52999973, 2.19000006, 9.51000023, 2.30999994, -0.50000000, 76.34714508
3915.00000000, 0.00000000, 0.00000000, 22.92869568, -6.24870205, 3.42616081, 126.65930176, -10.63000011, 8.00000000, 1.84000003, 9.52999973, 2.25000000, -0.41999999, 76.71592712
3915.00000000, 0.00000000, 0.00000000, 22.97264099, -6.24870205, 4.34087467, 120.73239136, -11.63000011, 7.63999987, 0.14000000, 9.55000019, 2.19000006, -0.34000000, 77.08427429
3915.00000000, 0.00000000, 0.00000000, 22.90672302, -6.24870205, 3.97449613, 113.32379150, -11.78999996, 7.90000010, -0.82999998, 9.56000042, 2.13000011, -0.27000001, 77.43945312
3915.00000000, 0.00000000, 0.00000000, 22.95066833, -6.43867445, 3.49540401, 108.47198486, -11.11999989, 7.82999992, -1.46000004, 9.57999992, 2.04999995, -0.23999999, 77.92158508
3915.00000000, 0.00000000, 0.00000000, 22.97264099, -6.34357786, 4.24580860, 105.85733032, -11.22999954, 7.80999994, -1.88999999, 9.60000038, 1.96000004, -0.23000000, 78.46070099
