TIME_SYSTEM_ON,ACTIVITY,GAIT_SUBPHASE,ACTUATOR_POSITION,TORQUE_ESTIMATE,ACTUATOR_SETPOINT,LOADCELL,LINEAR_ACC_X_LOCAL,LINEAR_ACC_Y_LOCAL,LINEAR_ACC_Z_LOCAL,GRAVITY_VECTOR_X,GRAVITY_VECTOR_Y,GRAVITY_VECTOR_Z,KNEE_ANGLE
1393700.00000000, 36.00000000, 33.00000000, -106618228125295046447436136448.00000000, 0.00000000, -8366095073280.00000000, 181939482400951669162785112064.00000000, 0.00000000, -0.00000000, 0.00000000, 53601386496.00000000, 0.00000000, 0.00000000, -0.00000000
5444.00000000, 0.00000000, 0.00000000, 29.54167175, -36.98447037, 29.15776253, 59.45642090, -3.25000000, 2.00000000, -3.16000009, 3.36999989, 8.97000027, 2.03999996, 20.59103012
5444.00000000, 0.00000000, 0.00000000, 29.32197571, -34.47947693, 28.27206802, 58.42712402, -5.48000002, 2.01999998, -4.67000008, 3.49000001, 8.93000031, 2.04999995, 21.34642601
5444.00000000, 0.00000000, 0.00000000, 29.30000305, -30.20121574, 17.81255150, 57.89230347, -4.46999979, 0.64999998, -3.89000010, 3.63000011, 8.85999966, 2.06999993, 22.27923393
5444.00000000, 0.00000000, 0.00000000, 29.10226440, -25.29909134, 20.20019722, 58.13894653, -2.63000011, 2.30999994, -4.05000019, 3.79999995, 8.77999973, 2.09999990, 23.40304565
5444.00000000, 0.00000000, 0.00000000, 28.97044373, -20.94197845, 17.74242592, 58.86260986, -0.33000001, 3.50999999, -3.26999998, 3.98000002, 8.68999958, 2.16000009, 24.60766792
5444.00000000, 0.00000000, 1.00000000, 28.97044373, -14.66519547, -61.11510086, 59.19818115, -1.85000002, 4.03999996, -3.00999999, 4.13000011, 8.60000038, 2.23000002, 25.65183067
5445.00000000, 65536.00000000, 1.00000000, 26.64163208, 1.42947268, 3.26827598, 56.63586426, -4.76999998, 4.21000004, -3.13000011, 4.28000021, 8.50000000, 2.31999993, 26.72659302
5445.00000000, 65536.00000000, 1.00000000, 24.24690247, 10.96534538, 43.42900848, 57.10202026, 1.40999997, 1.92999995, -2.64000010, 4.42999983, 8.39999962, 2.41000009, 27.80630684
5445.00000000, 65536.00000000, 1.00000000, 25.12570190, 6.79489088, 27.94991684, 41.44384766, 3.36999989, -3.66000009, -2.06999993, 4.53999996, 8.31999969, 2.49000001, 28.62010384
