TIME_SYSTEM_ON,ACTIVITY,GAIT_SUBPHASE,ACTUATOR_POSITION,TORQUE_ESTIMATE,ACTUATOR_SETPOINT,LOADCELL,LINEAR_ACC_X_LOCAL,LINEAR_ACC_Y_LOCAL,LINEAR_ACC_Z_LOCAL,GRAVITY_VECTOR_X,GRAVITY_VECTOR_Y,GRAVITY_VECTOR_Z,KNEE_ANGLE
682276.00000000, 36.00000000, 33.00000000, -0.00643447, 0.00000000, -0.00000000, 8743860868688255660409794732689981440.00000000, -0.03874995, 0.00000000, -89128.53125000, -0.00000002, -71024882614574862303232.00000000, 57255465424581549044531200.00000000, 0.00000000
2665.00000000, 0.00000000, 0.00000000, 23.47795105, -8.69335270, 5.86009502, 61.52270508, -5.17999983, 3.06999993, 1.03999996, 5.69999981, 7.07999992, -3.65000010, 38.83700180
2665.00000000, 0.00000000, 0.00000000, 23.47795105, -8.89624500, 5.05231094, 61.73208618, -5.36999989, 2.77999997, 0.66000003, 5.80000019, 7.00000000, -3.65000010, 39.64416885
2665.00000000, 0.00000000, 0.00000000, 23.43400574, -8.59234905, 5.32631779, 60.91131592, -5.26999998, 2.57999992, 0.56999999, 5.90999985, 6.90999985, -3.63000011, 40.53977966
2665.00000000, 0.00000000, 0.00000000, 23.49992371, -8.59234905, 5.40160322, 60.54806519, -5.67000008, 3.00000000, 0.88999999, 6.01999998, 6.82000017, -3.61999989, 41.43476868
2665.00000000, 0.00000000, 0.00000000, 23.47795105, -8.59234905, 5.10594273, 60.34509277, -5.48000002, 3.33999991, 1.09000003, 6.13999987, 6.73000002, -3.58999991, 42.37522125
2665.00000000, 0.00000000, 0.00000000, 23.43400574, -8.09170532, 5.30370712, 59.96365356, -4.82999992, 3.33999991, 1.80999994, 6.26000023, 6.63999987, -3.55999994, 43.31269836
2666.00000000, 0.00000000, 0.00000000, 23.41203308, -7.69618034, 4.63893890, 59.01147461, -4.59999990, 3.06999993, 1.96000004, 6.38000011, 6.55000019, -3.50999999, 44.24673462
2666.00000000, 0.00000000, 0.00000000, 23.43400574, -6.62953758, 3.85554075, 58.25622559, -4.82000017, 3.64000010, 1.62000000, 6.50000000, 6.44999981, -3.47000003, 45.22121429
2666.00000000, 0.00000000, 0.00000000, 23.45597839, -3.66900277, 2.19913626, 57.80874634, -5.84999990, 4.53999996, 1.74000001, 6.63000011, 6.34999990, -3.41000009, 46.23576736
2666.00000000, 0.00000000, 1.00000000, 23.52189636, -0.66633970, -1.15280151, 57.04193115, -5.48000002, 5.26000023, 1.57000005, 6.76000023, 6.23999977, -3.35999990, 47.29060745
2666.00000000, 65536.00000000, 1.00000000, 23.65370178, 2.66276002, 9.94271183, 55.39294434, -4.86999989, 4.67999983, 1.73000002, 6.90000010, 6.11999989, -3.28999996, 48.42835999
2666.00000000, 65536.00000000, 1.00000000, 24.33477783, 3.73429561, 14.21830559, 51.00195312, -4.44999981, 3.74000001, 1.75000000, 7.03999996, 6.00000000, -3.23000002, 49.55994797
2666.00000000, 65536.00000000, 1.00000000, 25.96055603, 2.66276002, 11.00588703, 44.52301025, -5.34999990, 3.82999992, 1.84000003, 7.17000008, 5.86999989, -3.16000009, 50.69318390
2666.00000000, 65536.00000000, 1.00000000, 28.00376892, 1.69259715, 6.77038860, 39.22412109, -7.38999987, 4.69999981, 1.89999998, 7.30999994, 5.73999977, -3.08999991, 51.86008072
2666.00000000, 65536.00000000, 1.00000000, 30.68411255, 1.69259715, 6.77038860, 32.98376465, -8.14000034, 4.96000004, 2.19000006, 7.48000002, 5.57000017, -3.01999998, 53.32668686
2666.00000000, 0.00000000, 3.00000000, 33.45233154, 2.39723992, 9.94271183, 28.27966309, -7.61000013, 4.53000021, 2.55999994, 7.65000010, 5.36000013, -2.94000006, 54.98285294
2666.00000000, 0.00000000, 3.00000000, 36.48419189, 2.84028125, 11.36112499, 24.34649658, -7.26000023, 4.36000013, 3.00000000, 7.84999990, 5.11999989, -2.85999990, 56.88642502
2666.00000000, 0.00000000, 3.00000000, 40.35090637, 2.39723992, 9.23554802, 20.02447510, -7.28000021, 5.19999981, 2.88000011, 8.05000019, 4.84000015, -2.77999997, 58.98393250
2666.00000000, 0.00000000, 3.00000000, 44.52520752, 1.78044188, 7.47339964, 16.58618164, -7.53999996, 6.03999996, 2.83999991, 8.26000023, 4.51999998, -2.69000006, 61.31184006
2666.00000000, 0.00000000, 3.00000000, 49.16087341, 0.55508292, 1.52236080, 14.85742188, -7.17000008, 6.65000010, 3.32999992, 8.47999954, 4.15999985, -2.59999990, 63.86899948
2666.00000000, 0.00000000, 4.00000000, 53.51094055, -0.14278319, -0.25780034, 14.39337158, -7.40000010, 7.46000004, 4.44999981, 8.68000031, 3.78999996, -2.50000000, 66.41217804
