TIME_SYSTEM_ON,ACTIVITY,GAIT_SUBPHASE,ACTUATOR_POSITION,TORQUE_ESTIMATE,ACTUATOR_SETPOINT,LOADCELL,LINEAR_ACC_X_LOCAL,LINEAR_ACC_Y_LOCAL,LINEAR_ACC_Z_LOCAL,GRAVITY_VECTOR_X,GRAVITY_VECTOR_Y,GRAVITY_VECTOR_Z,KNEE_ANGLE
1079814212.00000000, 342965505.00000000, 18.00000000, -0.00000000, -0.00000000, -0.00000000, -0.00000001, -0.00000003, -0.00000013, -0.00000000, -0.00000000, -0.00000000, 0.00000000, 0.00000000
3734.00000000, 0.00000000, 3.00000000, 36.83570862, 0.20609112, 0.12672800, 7.10144043, -6.05999994, 1.27999997, 0.75999999, 6.38000011, 7.40000010, -0.72000003, 40.76665878
3734.00000000, 0.00000000, 3.00000000, 37.12132263, 0.03168200, -0.57113278, 8.50582886, -6.21000004, 1.34000003, 0.92000002, 6.53000021, 7.25000000, -0.87000000, 42.00902939
3734.00000000, 0.00000000, 3.00000000, 37.18722534, -1.80454910, -6.51554680, 23.49154663, -6.46000004, 1.22000003, 1.12000000, 6.67000008, 7.09999990, -1.00000000, 43.21138382
3734.00000000, 0.00000000, 3.00000000, 36.90161133, -0.31726873, -1.96695554, 38.75122070, -14.27000046, 8.82999992, 7.73999977, 6.78999996, 6.96999979, -1.13000000, 44.25053024
3734.00000000, 0.00000000, 3.00000000, 36.61601257, 4.18604565, 16.01985359, 48.34082031, -13.78999996, 10.97999954, 6.53000021, 6.82000017, 6.92999983, -1.21000004, 44.54164124
3734.00000000, 65536.00000000, 0.00000000, 37.20919800, 4.18604565, -5.37823582, 58.67926025, -7.19999981, 3.67000008, 4.98000002, 6.88999987, 6.84999990, -1.24000001, 45.16679764
3734.00000000, 65536.00000000, 0.00000000, 37.71450806, 5.00877953, -10.15619564, 75.01873779, -7.44999981, 0.38000000, 0.17000000, 7.01000023, 6.73999977, -1.23000002, 46.12492752
3734.00000000, 65536.00000000, 0.00000000, 37.91223145, 9.27735329, -14.29273891, 87.96520996, -10.32999992, 5.38999987, 2.64000010, 7.11999989, 6.61000013, -1.24000001, 47.12726212
3734.00000000, 65536.00000000, 0.00000000, 37.93420410, 14.63186550, -17.59768677, 97.35937500, -10.71000004, 4.78999996, 3.79999995, 7.26999998, 6.44999981, -1.25000000, 48.42031097
3734.00000000, 65536.00000000, 0.00000000, 37.95617676, 19.74876404, -20.65133095, 102.22994995, -5.92000008, 3.65000010, 3.77999997, 7.42000008, 6.26999998, -1.25999999, 49.80173111
3734.00000000, 65536.00000000, 0.00000000, 37.97814941, 23.95792198, -23.21717644, 105.31906128, -6.59000015, 4.40999985, 3.33999991, 7.59000015, 6.07000017, -1.25000000, 51.34939194
3734.00000000, 65536.00000000, 0.00000000, 38.00012207, 24.92583466, -23.72400856, 117.39526367, -3.42000008, 2.92000008, 1.23000002, 7.75000000, 5.86000013, -1.23000002, 52.90601349
3734.00000000, 65536.00000000, 0.00000000, 37.97814941, 25.41909599, -24.74254608, 115.70791626, -5.15999985, 5.15999985, 2.73000002, 7.88999987, 5.67000008, -1.22000003, 54.29779053
3734.00000000, 65536.00000000, 0.00000000, 37.97814941, 25.08956337, -23.72400856, 114.22488403, -4.00000000, 3.48000002, 0.89999998, 8.01000023, 5.51000023, -1.24000001, 55.47629547
3734.00000000, 65536.00000000, 0.00000000, 37.97814941, 25.08956337, -24.54482651, 110.05865479, -4.01000023, 4.05000019, 0.66000003, 8.10000038, 5.36999989, -1.26999998, 56.45709229
3734.00000000, 65536.00000000, 0.00000000, 37.95617676, 20.90185928, -21.68138313, 111.93392944, -0.61000001, 0.43000001, 2.60999990, 8.18000031, 5.23999977, -1.28999996, 57.35690689
3734.00000000, 65536.00000000, 0.00000000, 37.95617676, 19.89084435, -20.81933784, 107.57995605, -8.53999996, 10.50000000, -0.18000001, 8.26000023, 5.09999990, -1.28999996, 58.30742264
3734.00000000, 65536.00000000, 0.00000000, 37.91223145, 17.81959152, -19.47971916, 102.95089722, -4.86999989, 2.60999990, 0.67000002, 8.31000042, 5.01999998, -1.33000004, 58.86417770
