TIME_SYSTEM_ON,ACTIVITY,GAIT_SUBPHASE,ACTUATOR_POSITION,TORQUE_ESTIMATE,ACTUATOR_SETPOINT,LOADCELL,LINEAR_ACC_X_LOCAL,LINEAR_ACC_Y_LOCAL,LINEAR_ACC_Z_LOCAL,GRAVITY_VECTOR_X,GRAVITY_VECTOR_Y,GRAVITY_VECTOR_Z,KNEE_ANGLE
295904273.00000000, 9233.00000000, 1.00000000, 0.00000000, 0.00000001, -0.00000000, 756539092930074775650304.00000000, -0.00000000, 0.00000000, 190576168599027712.00000000, 0.00000000, -0.00000000, 584823038125773522136263840352960512.00000000, 0.00000000
4515.00000000, 0.00000000, 3.00000000, 34.94628906, -2.50989079, -10.03956318, 13.58230591, -3.82999992, 1.38000000, 1.32000005, 3.45000005, 9.14000034, -0.75000000, 20.67959785
4515.00000000, 0.00000000, 3.00000000, 38.72512817, -0.92842680, -3.71370721, 13.03027344, -5.48000002, 1.62000000, 0.20999999, 3.76999998, 9.02000046, -0.69999999, 22.68297577
4515.00000000, 0.00000000, 3.00000000, 41.99865723, -0.49173889, -1.96695554, 13.56915283, -1.75999999, 1.71000004, 1.69000006, 4.15000010, 8.85000038, -0.70999998, 25.12312508
4515.00000000, 0.00000000, 3.00000000, 44.76687622, 0.46785852, 1.52236080, 11.47024536, -2.34999990, -1.65999997, -0.09000000, 4.53999996, 8.64999962, -0.73000002, 27.69297791
4515.00000000, 0.00000000, 3.00000000, 47.31539917, 1.60481262, 7.47339964, 11.86117554, -3.25000000, -1.22000003, 3.56999993, 4.80999994, 8.50000000, -0.77999997, 29.50474930
4515.00000000, 0.00000000, 3.00000000, 50.10559082, 1.69259715, 6.41925049, 10.99017334, -2.23000002, -0.47000000, -0.33000001, 5.07000017, 8.34000015, -0.83999997, 31.29598618
4515.00000000, 0.00000000, 3.00000000, 53.20335388, 0.46785852, 2.91886139, 11.09353638, -5.53999996, 0.61000001, 2.88000011, 5.28999996, 8.18999958, -0.93000001, 32.85879898
4515.00000000, 0.00000000, 3.00000000, 56.30113220, -0.66633970, -3.01469684, 10.08947754, -3.68000007, 2.63000011, 2.14000010, 5.46000004, 8.06999969, -1.01999998, 34.08148956
4515.00000000, 0.00000000, 4.00000000, 59.00343323, -0.84103554, -6.67406273, 11.14331055, -3.16000009, 2.17000008, 1.23000002, 5.57000017, 7.98999977, -1.11000001, 34.88117218
4515.00000000, 0.00000000, 4.00000000, 60.82695007, -0.31726873, -9.77335167, 10.85177612, -1.46000004, 0.94000000, 1.79999995, 5.63000011, 7.92999983, -1.20000005, 35.37330627
4515.00000000, 0.00000000, 4.00000000, 61.99136353, 0.81706899, -12.89758396, 10.92611694, -0.80000001, 0.12000000, 1.58000004, 5.65000010, 7.90000010, -1.27999997, 35.57196045
4515.00000000, 0.00000000, 4.00000000, 62.38682556, 2.30888700, -16.88509941, 10.39645386, -0.98000002, -0.13000000, 2.01999998, 5.61999989, 7.90999985, -1.37000000, 35.39352036
4515.00000000, 0.00000000, 4.00000000, 61.72772217, 3.10726357, -23.37936020, 10.80691528, -0.88999999, 0.03000000, 2.39000010, 5.51000023, 7.96999979, -1.45000005, 34.65775299
4515.00000000, 0.00000000, 4.00000000, 60.12390137, 3.91460395, -29.23361969, 9.70458984, -1.07000005, 0.20000000, 2.33999991, 5.30000019, 8.10000038, -1.52999997, 33.19755936
4515.00000000, 0.00000000, 4.00000000, 57.28977966, 4.64147472, -21.33827591, 9.46142578, -0.63999999, 0.13000000, 2.45000005, 4.96999979, 8.28999996, -1.59000003, 30.94341469
