TIME_SYSTEM_ON,ACTIVITY,GAIT_SUBPHASE,ACTUATOR_POSITION,TORQUE_ESTIMATE,ACTUATOR_SETPOINT,LOADCELL,LINEAR_ACC_X_LOCAL,LINEAR_ACC_Y_LOCAL,LINEAR_ACC_Z_LOCAL,GRAVITY_VECTOR_X,GRAVITY_VECTOR_Y,GRAVITY_VECTOR_Z,KNEE_ANGLE
4033980996.00000000, 4485.00000000, 0.00000000, 0.00000000, 31.34321594, 0.29333544, 1.17334175, 7.37738037, 3.00000000, -2.06999993, 1.44000006, -2.58999991, 9.35999966, -1.25999999
4485.00000000, 0.00000000, 3.00000000, 32.02427673, 0.38059020, 1.52236080, 6.75787354, 0.57999998, -1.96000004, 1.45000005, -2.39000010, 9.42000008, -1.22000003, -14.23642635
4485.00000000, 0.00000000, 3.00000000, 32.66140747, 0.20609112, 0.82436442, 6.95446777, 1.78999996, -0.44999999, 0.91000003, -2.19000006, 9.47000027, -1.20000005, -13.02112484
4485.00000000, 0.00000000, 3.00000000, 33.38641357, 0.11885416, 0.82436442, 6.89816284, 1.25999999, 0.00000000, 0.57999998, -1.98000002, 9.52000046, -1.16999996, -11.74905777
4485.00000000, 0.00000000, 3.00000000, 33.89172363, 0.20609112, 0.47541663, 6.57131958, 0.75999999, -0.20999999, 0.38999999, -1.75999999, 9.56999969, -1.13999999, -10.42071247
4485.00000000, 0.00000000, 3.00000000, 34.41900635, 0.11885416, 1.17334175, 6.35443115, 0.58999997, -0.54000002, 0.70999998, -1.52999997, 9.60999966, -1.12000000, -9.04608917
4485.00000000, 0.00000000, 3.00000000, 34.79249573, -0.92842680, -3.36414218, 19.02975464, 0.23000000, -0.58999997, 0.19000000, -1.28999996, 9.64999962, -1.11000001, -7.61408710
4485.00000000, 0.00000000, 3.00000000, 34.83644104, -0.40452692, -2.66535878, 35.79797363, -1.38000000, 1.92999995, 0.19000000, -1.04999995, 9.68000031, -1.10000002, -6.19072962
4485.00000000, 0.00000000, 3.00000000, 34.96826172, 5.00877953, 19.66679382, 46.80929565, -9.48999977, 9.21000004, 6.90000010, -0.86000001, 9.69999981, -1.09000003, -5.06658411
4485.00000000, 65536.00000000, 0.00000000, 36.15463257, 6.03379107, -8.36588001, 54.99200439, -0.98000002, 6.78999996, 1.51999998, -0.74000001, 9.72000027, -1.00000000, -4.35362482
4485.00000000, 65536.00000000, 0.00000000, 37.56071472, 6.79489088, -21.12563896, 67.04132080, -0.62000000, -1.57000005, 4.32999992, -0.49000001, 9.73999977, -0.93000001, -2.88000798
4485.00000000, 65536.00000000, 0.00000000, 37.93420410, 13.32341194, -28.24287605, 80.93728638, -2.19000006, 0.04000000, 2.32999992, -0.23000000, 9.76000023, -0.88000000, -1.34995782
4485.00000000, 65536.00000000, 0.00000000, 37.80238342, 22.70470047, -32.95643616, 95.67141724, -2.07999992, 3.01999998, 3.14000010, 0.04000000, 9.76000023, -0.86000001, 0.23481739
4485.00000000, 65536.00000000, 0.00000000, 37.42889404, 29.05186653, -34.06130600, 95.67373657, 3.78999996, 1.25999999, 6.96999979, 0.34999999, 9.76000023, -0.86000001, 2.05378389
4485.00000000, 65536.00000000, 0.00000000, 37.18722534, 32.23766327, -34.28229523, 97.10961914, 4.21999979, -1.74000001, 5.71000004, 0.63000000, 9.73999977, -0.86000001, 3.70083404
4485.00000000, 65536.00000000, 0.00000000, 37.20919800, 33.02090454, -34.10651398, 97.24572754, 3.17000008, 0.98000002, 0.43000001, 0.87000000, 9.72000027, -0.88000000, 5.11469603
4485.00000000, 65536.00000000, 0.00000000, 37.20919800, 31.65870476, -33.98897934, 99.67126465, 4.03000021, -0.69999999, 2.07999992, 1.05999994, 9.69999981, -0.94999999, 6.23644161
4485.00000000, 65536.00000000, 0.00000000, 37.18722534, 28.87145615, -31.95217705, 104.82800293, 4.30999994, -0.98000002, 1.66999996, 1.24000001, 9.67000008, -1.01999998, 7.30725193
4485.00000000, 65536.00000000, 0.00000000, 37.14329529, 25.08956337, -29.11452866, 101.91357422, 2.17000008, -0.15000001, -0.02000000, 1.38000000, 9.64000034, -1.10000002, 8.14674187
4485.00000000, 65536.00000000, 0.00000000, 37.18722534, 20.32050323, -26.42887306, 100.01748657, 1.96000004, -0.12000000, -0.08000000, 1.49000001, 9.60999966, -1.19000006, 8.81335068
4485.00000000, 65536.00000000, 0.00000000, 36.74783325, 17.55288124, -21.33304405, 100.05316162, 1.00000000, -0.16000000, -0.47999999, 1.54999995, 9.59000015, -1.25000000, 9.18112946
4486.00000000, 65536.00000000, 0.00000000, 36.19857788, 16.12305641, -17.01185799, 102.30624390, -0.27000001, -0.09000000, -0.72000003, 1.59000003, 9.57999992, -1.29999995, 9.42352200
4486.00000000, 65536.00000000, 0.00000000, 35.71524048, 15.24480343, -11.81116676, 103.40554810, -0.11000000, -0.17000000, 0.75999999, 1.61000001, 9.56999969, -1.32000005, 9.54967690
4486.00000000, 65536.00000000, 0.00000000, 35.53947449, 13.32341194, -7.71634483, 102.24304199, -0.67000002, 0.55000001, 2.22000003, 1.63000000, 9.56999969, -1.33000004, 9.66608238
4486.00000000, 65536.00000000, 0.00000000, 35.64932251, 10.96534538, -6.44975519, 96.41613770, -1.34000003, 1.07000005, 3.09999990, 1.64999998, 9.56000042, -1.35000002, 9.79243851
4486.00000000, 65536.00000000, 0.00000000, 35.75918579, 9.07220364, -8.25557804, 89.17907715, -1.19000006, 0.81999999, 3.44000006, 1.66999996, 9.56000042, -1.37000000, 9.90879631
4486.00000000, 65536.00000000, 0.00000000, 35.80311584, 7.37549877, -7.70632410, 81.99206543, -0.41000000, 0.28999999, 2.74000001, 1.70000005, 9.55000019, -1.41999996, 10.09352016
4486.00000000, 65536.00000000, 0.00000000, 35.71524048, 6.03379107, -6.43253040, 73.84368896, -0.18000001, 0.41000000, 1.76999998, 1.74000001, 9.52999973, -1.48000002, 10.34716511
4486.00000000, 65536.00000000, 0.00000000, 35.73721313, 4.91669846, -5.76227474, 66.76214600, -0.31000000, 0.31000000, 0.11000000, 1.76999998, 9.51000023, -1.53999996, 10.54324341
4486.00000000, 65536.00000000, 0.00000000, 35.73721313, 4.18604565, -5.60858250, 61.88784790, -0.97000003, 0.30000001, -0.38999999, 1.78999996, 9.50000000, -1.59000003, 10.67062473
4486.00000000, 65536.00000000, 0.00000000, 35.73721313, 3.64434052, -4.70127058, 56.60452271, -1.03999996, 0.43000001, -0.80000001, 1.80999994, 9.48999977, -1.63000000, 10.79816723
4486.00000000, 65536.00000000, 0.00000000, 35.73721313, 2.84028125, -4.51642466, 54.78680420, -1.03999996, 0.57999998, -0.80000001, 1.84000003, 9.47999954, -1.63999999, 10.98412609
4486.00000000, 65536.00000000, 0.00000000, 35.64932251, 1.60481262, -3.59936213, 55.29284668, -0.44000000, 0.11000000, -0.62000000, 1.88000000, 9.47999954, -1.63999999, 11.21691895
4486.00000000, 0.00000000, 0.00000000, 35.56144714, -0.31726873, 3.36866021, 55.20745850, -0.05000000, 0.14000000, 0.09000000, 1.90999997, 9.47000027, -1.61000001, 11.40297890
4486.00000000, 0.00000000, 0.00000000, 35.49554443, -3.48946857, 4.22682285, 54.92468262, 0.13000000, 0.23999999, 0.31999999, 1.92999995, 9.47999954, -1.57000005, 11.50738049
4486.00000000, 0.00000000, 0.00000000, 35.47357178, -7.11068773, 5.06280565, 55.82241821, -0.50000000, 0.34999999, 0.83999997, 1.96000004, 9.47999954, -1.51999998, 11.68137264
4486.00000000, 0.00000000, 0.00000000, 35.36372375, -10.88686657, 8.73502254, 55.85629272, -1.50000000, 0.60000002, 1.58000004, 1.99000001, 9.47999954, -1.46000004, 11.85514641
4486.00000000, 0.00000000, 0.00000000, 35.23190308, -13.94408894, 10.97364521, 56.83300781, -2.03999996, 0.63000000, 1.69000006, 2.02999997, 9.47999954, -1.39999998, 12.08649826
