TIME_SYSTEM_ON,ACTIVITY,GAIT_SUBPHASE,ACTUATOR_POSITION,TORQUE_ESTIMATE,ACTUATOR_SETPOINT,LOADCELL,LINEAR_ACC_X_LOCAL,LINEAR_ACC_Y_LOCAL,LINEAR_ACC_Z_LOCAL,GRAVITY_VECTOR_X,GRAVITY_VECTOR_Y,GRAVITY_VECTOR_Z,KNEE_ANGLE
2405188609.00000000, 2748793857.00000000, 1.00000000, -801613836976128.00000000, 0.00000000, 0.00000000, 0.00000000, 163408085185670196286684397568.00000000, 963133066599680844050789826560.00000000, 950901835177593559290023510016.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2605.00000000, 0.00000000, 4.00000000, 64.86943054, 2.48567796, -19.07081223, 11.68371582, -3.69000006, 6.94999981, -0.73000002, 9.67000008, 1.62000000, -0.16000000, 80.48963165
2605.00000000, 0.00000000, 4.00000000, 64.38609314, 2.48567796, -24.01609802, 11.33236694, -3.00000000, 6.05999994, -0.25999999, 9.63000011, 1.77999997, -0.23999999, 79.52768707
2605.00000000, 0.00000000, 4.00000000, 63.02395630, 2.30888700, -25.95586395, 11.37857056, -2.91000009, 5.13000011, 0.02000000, 9.56000042, 2.10999990, -0.34999999, 77.55370331
2605.00000000, 0.00000000, 3.00000000, 60.12390137, 1.60481262, -16.32432556, 11.01501465, -3.29999995, 4.78999996, 0.27000001, 9.43000031, 2.61999989, -0.47000000, 74.47274780
2605.00000000, 0.00000000, 3.00000000, 56.54280090, -0.40452692, -4.27074194, 9.57315063, -2.71000004, 4.26999998, 0.75999999, 9.22000027, 3.26999998, -0.60000002, 70.47224426
2605.00000000, 0.00000000, 3.00000000, 52.96168518, -3.66900277, -4.07080793, 8.55645752, -2.81999993, 4.36000013, 1.42999995, 8.89000034, 4.05000019, -0.74000001, 65.50749969
2605.00000000, 0.00000000, 3.00000000, 49.22679138, -4.75819731, -7.94669056, 8.32888794, -3.75000000, 5.55000019, 2.05999994, 8.43000031, 4.90999985, -0.88999999, 59.78160477
2605.00000000, 0.00000000, 3.00000000, 44.89869690, -3.75899363, -8.12527847, 8.84085083, -3.57999992, 5.86999989, 2.13000011, 7.86999989, 5.75000000, -1.01999998, 53.84729004
2605.00000000, 0.00000000, 3.00000000, 40.06529236, -3.13172889, -13.24145889, 8.42987061, -1.45000005, 3.84999990, 2.22000003, 7.26000023, 6.48000002, -1.13999999, 48.24910736
2605.00000000, 0.00000000, 3.00000000, 35.23190308, -1.80454910, -7.21819639, 8.03073120, -3.14000010, 2.35999990, 3.53999996, 6.61000013, 7.13000011, -1.24000001, 42.83262634
2605.00000000, 0.00000000, 3.00000000, 30.28865051, -0.49173889, -1.96695554, 8.16232300, -2.76999998, 2.55999994, 3.17000008, 5.88000011, 7.71999979, -1.33000004, 37.29499817
2605.00000000, 0.00000000, 3.00000000, 25.30145264, 0.11885416, 0.47541663, 8.47705078, -3.03999996, 1.78999996, 1.13999999, 5.11999989, 8.22999954, -1.40999997, 31.88632584
2606.00000000, 0.00000000, 3.00000000, 21.06124878, 3.28583717, 8.52969456, 5.75411987, -3.54999995, 1.36000001, 3.54999995, 4.34000015, 8.65999985, -1.48000002, 26.61795425
2606.00000000, 0.00000000, 3.00000000, 18.38090515, 17.95380020, 70.21152496, 7.46487427, -4.78999996, 1.19000006, 3.13000011, 3.54999995, 9.00000000, -1.51999998, 21.52647591
2606.00000000, 0.00000000, 3.00000000, 20.44609070, 4.91669846, 23.75844383, 9.92892456, -3.33999991, 11.77000046, 1.38999999, 2.91000009, 9.22999954, -1.54999995, 17.49882317
2606.00000000, 0.00000000, 3.00000000, 24.29083252, -10.56450844, -41.40522766, 6.82400513, 4.80999994, -1.05999994, 3.72000003, 2.58999991, 9.31999969, -1.57000005, 15.53045082
2606.00000000, 0.00000000, 3.00000000, 25.36737061, -7.49997425, -32.76513672, 7.39846802, 4.09999990, -3.17000008, 4.15999985, 2.36999989, 9.38000011, -1.55999994, 14.17987442
2606.00000000, 0.00000000, 3.00000000, 23.91734314, 3.55457640, 13.50118637, 10.98379517, -6.86000013, 2.08999991, 2.58999991, 2.39000010, 9.38000011, -1.52999997, 14.29465199
2606.00000000, 0.00000000, 3.00000000, 23.36810303, 3.01820493, 14.21830559, 11.13204956, 5.15000010, -1.11000001, 3.25000000, 2.51999998, 9.35000038, -1.48000002, 15.08386707
2606.00000000, 0.00000000, 3.00000000, 23.76356506, 0.64238763, 2.91886139, 8.59417725, 1.89999998, -5.32999992, 3.57999992, 2.65000010, 9.32999992, -1.40999997, 15.85613823
2606.00000000, 0.00000000, 3.00000000, 24.33477783, 1.07925630, 4.31702518, 10.71994019, -13.44999981, -1.88999999, 2.61999989, 2.73000002, 9.31999969, -1.34000003, 16.32628059
2606.00000000, 0.00000000, 3.00000000, 25.12570190, 1.51714623, 7.47339964, 9.62670898, -5.82999992, 0.89999998, 0.99000001, 2.83999991, 9.28999996, -1.26999998, 16.99865532
2606.00000000, 0.00000000, 3.00000000, 26.22419739, -1.10325086, -4.76300287, 8.68142700, -3.81999993, -2.96000004, 0.49000001, 2.98000002, 9.26000023, -1.20000005, 17.83891487
2606.00000000, 0.00000000, 3.00000000, 26.75148010, -1.27829289, -5.46352243, 8.71447754, -4.13999987, -1.83000004, 0.95999998, 3.11999989, 9.22000027, -1.13999999, 18.69554710
2606.00000000, 0.00000000, 3.00000000, 26.88330078, -0.66633970, -3.01469684, 9.13851929, -3.31999993, -0.16000000, 0.17000000, 3.24000001, 9.18000031, -1.09000003, 19.44003105
2606.00000000, 0.00000000, 3.00000000, 26.81738281, -0.23002186, -0.92008740, 7.95196533, -2.35999990, -1.75999999, 0.31000000, 3.41000009, 9.13000011, -1.05999994, 20.48035431
2606.00000000, 0.00000000, 3.00000000, 26.66360474, -0.05554960, -0.22219841, 8.80230713, -3.58999991, -1.46000004, -0.30000001, 3.55999994, 9.06999969, -1.01999998, 21.43014145
2606.00000000, 0.00000000, 3.00000000, 26.66360474, -0.23002186, -0.92008740, 8.93490601, -2.89000010, -0.41000000, -0.83999997, 3.72000003, 9.01000023, -1.00999999, 22.43448257
2606.00000000, 0.00000000, 3.00000000, 26.61965942, -0.66633970, -1.96695554, 12.22616577, -4.71000004, -0.72000003, -0.01000000, 3.89000010, 8.93999958, -1.00999999, 23.51496696
2606.00000000, 0.00000000, 3.00000000, 26.44389343, -5.68394613, -22.73578262, 38.62997437, -4.03000021, -0.40000001, -0.99000001, 4.07000017, 8.85000038, -1.03999996, 24.69708061
2606.00000000, 65536.00000000, 0.00000000, 25.19160461, 0.90445173, -0.33304971, 64.55606079, -12.22999954, 5.38999987, 1.00999999, 4.23000002, 8.77000046, -1.09000003, 25.74922180
2606.00000000, 65536.00000000, 0.00000000, 24.70826721, 6.31753159, -3.79051876, 84.51040649, -12.27000046, 13.28999996, -0.63000000, 4.17999983, 8.78999996, -1.11000001, 25.43297005
2606.00000000, 65536.00000000, 0.00000000, 24.53250122, 5.56499100, -3.45112109, 99.86016846, -6.61000013, 2.49000001, 0.56000000, 4.23999977, 8.76000023, -1.12000000, 25.82782555
2606.00000000, 65536.00000000, 0.00000000, 24.55447388, 3.55457640, -2.24057746, 112.52868652, 0.31999999, -4.01999998, 2.96000004, 4.32999992, 8.71000004, -1.14999998, 26.43333244
2606.00000000, 65536.00000000, 0.00000000, 24.62039185, 4.73304892, -2.78488493, 116.25817871, -5.59999990, 4.11000013, 6.09999990, 4.36999989, 8.68999958, -1.20000005, 26.69676208
2606.00000000, 65536.00000000, 0.00000000, 24.68629456, 5.00877953, -3.06062198, 121.40020752, -8.64999962, 3.98000002, 5.09000015, 4.42999983, 8.64999962, -1.21000004, 27.11874199
2606.00000000, 65536.00000000, 0.00000000, 24.68629456, 3.82438231, -2.34876227, 125.98388672, -2.65000010, 2.96000004, 4.36999989, 4.53000021, 8.60000038, -1.22000003, 27.77775383
2606.00000000, 65536.00000000, 0.00000000, 24.77418518, 1.69259715, -1.12100995, 127.56787109, -3.98000002, 3.35999990, 3.29999995, 4.61999989, 8.55000019, -1.25999999, 28.38460732
2606.00000000, 0.00000000, 0.00000000, 24.66432190, -1.45351672, 0.88203812, 126.87988281, -3.28999996, 2.23000002, 1.19000006, 4.69999981, 8.50000000, -1.29999995, 28.94000626
2606.00000000, 0.00000000, 0.00000000, 24.64236450, -5.87139559, 5.99535370, 124.10449219, -3.54999995, 1.36000001, -0.64999998, 4.76000023, 8.46000004, -1.33000004, 29.36417961
2606.00000000, 0.00000000, 0.00000000, 24.53250122, -10.77903271, 8.72407150, 123.90982056, -4.13999987, 1.36000001, -2.00999999, 4.78999996, 8.43999958, -1.37000000, 29.57644653
2606.00000000, 0.00000000, 0.00000000, 24.44462585, -13.94408894, 10.64170837, 121.86453247, -5.75000000, 1.14999998, -2.75000000, 4.80000019, 8.43000031, -1.38999999, 29.65696716
2606.00000000, 0.00000000, 0.00000000, 24.31280518, -13.94408894, 10.43084526, 124.66915894, -6.21000004, 0.73000002, -2.45000005, 4.80000019, 8.42000008, -1.41999996, 29.68621635
2606.00000000, 0.00000000, 0.00000000, 24.33477783, -13.70727158, 9.70147228, 132.35119629, -11.65999985, 0.50999999, -1.04999995, 4.82000017, 8.40999985, -1.44000006, 29.81818962
2606.00000000, 0.00000000, 0.00000000, 24.22492981, -13.00729465, 10.51452827, 139.45257568, -4.98999977, -0.31999999, -0.12000000, 4.84999990, 8.39000034, -1.44000006, 30.03087425
2606.00000000, 0.00000000, 0.00000000, 24.13705444, -13.12290764, 9.17860031, 143.92037964, -8.10000038, 1.03999996, 2.79999995, 4.88999987, 8.36999989, -1.44000006, 30.29472160
2606.00000000, 0.00000000, 0.00000000, 24.15901184, -12.66303635, 8.37532425, 142.83660889, -7.48999977, 1.64999998, 4.23000002, 4.94999981, 8.32999992, -1.42999995, 30.72037315
2606.00000000, 0.00000000, 0.00000000, 24.11508179, -12.54907990, 7.68891287, 139.36038208, -5.82999992, 2.23000002, 3.89000010, 5.01999998, 8.28999996, -1.41999996, 31.19694901
2606.00000000, 0.00000000, 0.00000000, 24.04916382, -12.09728336, 9.11013794, 131.74166870, -6.07000017, 2.04999995, 3.33999991, 5.09999990, 8.25000000, -1.38999999, 31.72360039
2606.00000000, 0.00000000, 0.00000000, 24.04916382, -11.98540306, 7.39959383, 124.26416016, -5.38000011, 1.84000003, 1.66999996, 5.19000006, 8.19999981, -1.37000000, 32.33081055
2606.00000000, 0.00000000, 0.00000000, 23.98326111, -11.87383461, 8.24466133, 118.65206909, -5.96000004, 1.72000003, 0.43000001, 5.26999998, 8.14999962, -1.34000003, 32.88774872
2606.00000000, 0.00000000, 0.00000000, 23.93931580, -11.54144573, 8.05723095, 116.97918701, -6.46999979, 1.50999999, -0.93000001, 5.34999990, 8.10000038, -1.30999994, 33.44450760
2606.00000000, 0.00000000, 0.00000000, 23.96128845, -11.43140984, 8.71941185, 116.75787354, -6.21999979, 1.54999995, -1.04999995, 5.42000008, 8.06000042, -1.28999996, 33.91910934
2606.00000000, 0.00000000, 0.00000000, 23.87341309, -10.99505901, 7.00457001, 116.91156006, -6.55999994, 1.75000000, -0.37000000, 5.48999977, 8.02000046, -1.26999998, 34.39314270
2606.00000000, 0.00000000, 0.00000000, 23.80749512, -10.35130787, 7.65876913, 117.08276367, -6.82000017, 2.00999999, 0.16000000, 5.55999994, 7.96999979, -1.25000000, 34.90024185
2606.00000000, 0.00000000, 0.00000000, 23.69764709, -10.03415298, 8.31569481, 117.04583740, -7.17000008, 2.04999995, 1.05999994, 5.63000011, 7.92999983, -1.22000003, 35.37330627
2606.00000000, 0.00000000, 0.00000000, 23.65370178, -10.03415298, 5.39030027, 115.02212524, -7.25000000, 2.06999993, 2.10999990, 5.71000004, 7.86999989, -1.20000005, 35.96237946
2606.00000000, 0.00000000, 0.00000000, 23.67567444, -9.71993446, 6.14002848, 111.12814331, -7.34000015, 2.16000009, 2.31999993, 5.80999994, 7.80000019, -1.16999996, 36.68138504
2606.00000000, 0.00000000, 0.00000000, 23.65370178, -9.30558777, 7.18128777, 107.71615601, -6.71999979, 2.06999993, 2.05999994, 5.90999985, 7.73000002, -1.13999999, 37.39984512
2606.00000000, 0.00000000, 0.00000000, 23.63174438, -9.40871620, 6.06577682, 99.22998047, -6.21999979, 2.03999996, 1.61000001, 6.01999998, 7.65000010, -1.10000002, 38.20019150
2606.00000000, 0.00000000, 0.00000000, 23.56582642, -9.30558777, 5.83802462, 90.44531250, -6.40999985, 2.07999992, 0.93000001, 6.13999987, 7.55999994, -1.05999994, 39.08243561
2606.00000000, 0.00000000, 0.00000000, 23.63174438, -9.20277309, 6.13315296, 81.45666504, -6.40999985, 2.11999989, 0.69999999, 6.26000023, 7.46000004, -1.00999999, 40.00142288
2607.00000000, 0.00000000, 0.00000000, 23.63174438, -9.10026741, 4.57391882, 71.68490601, -6.26999998, 2.45000005, 0.60000002, 6.38999987, 7.36999989, -0.97000003, 40.92621231
2607.00000000, 0.00000000, 0.00000000, 23.56582642, -9.10026741, 5.84503222, 59.74642944, -5.50000000, 2.51999998, 0.64999998, 6.51000023, 7.26000023, -0.92000002, 41.88239288
2607.00000000, 0.00000000, 0.00000000, 23.58779907, -9.10026741, 5.57820177, 58.14514160, -4.67000008, 3.16000009, 0.16000000, 6.65000010, 7.13999987, -0.87000000, 42.96495819
2607.00000000, 0.00000000, 0.00000000, 23.60977173, -8.99806881, 5.68065071, 57.32824707, -11.07999992, 5.38999987, -1.35000002, 6.78999996, 7.01999998, -0.81000000, 44.04584503
2607.00000000, 0.00000000, 0.00000000, 23.58779907, -8.69335270, 4.72001648, 55.29144287, -5.76999998, 2.63000011, -0.99000001, 6.92000008, 6.88999987, -0.75999999, 45.12446213
2607.00000000, 0.00000000, 0.00000000, 23.58779907, -8.19128418, 5.13548088, 54.71292114, -6.32999992, 3.60999990, -0.62000000, 7.05999994, 6.76000023, -0.70999998, 46.24355698
2607.00000000, 0.00000000, 0.00000000, 23.58779907, -7.49997425, 4.97390079, 53.81063843, -5.53000021, 3.55999994, 0.05000000, 7.19000006, 6.63000011, -0.64999998, 47.32040405
2607.00000000, 0.00000000, 0.00000000, 23.58779907, -5.40431213, 2.89635897, 53.91787720, -5.92999983, 4.11000013, 0.01000000, 7.30999994, 6.50000000, -0.56999999, 48.35672760
2607.00000000, 0.00000000, 1.00000000, 23.56582642, -1.71668732, -8.27388287, 54.02902222, -7.01999998, 4.67999983, 0.43000001, 7.44000006, 6.36000013, -0.47000000, 49.47489548
2607.00000000, 65536.00000000, 1.00000000, 23.34613037, 3.37529659, 11.71676445, 51.66552734, -7.63999987, 5.57000017, 1.64999998, 7.57000017, 6.21000004, -0.36000001, 50.63647461
2607.00000000, 65536.00000000, 1.00000000, 24.00523376, 5.84563875, 24.13516235, 44.93148804, -7.80000019, 6.03000021, 1.54999995, 7.71000004, 6.03999996, -0.25000000, 51.92491150
2607.00000000, 65536.00000000, 1.00000000, 25.96055603, 4.27683687, 17.47111702, 34.93801880, -6.03999996, 4.88000011, 1.41999996, 7.84999990, 5.86999989, -0.13000000, 53.21193314
2607.00000000, 0.00000000, 3.00000000, 29.14620972, 1.95632434, 8.52969456, 26.35168457, -7.69999981, 4.92000008, 1.28999996, 7.98999977, 5.67000008, -0.01000000, 54.63906860
2607.00000000, 0.00000000, 3.00000000, 32.72732544, 0.64238763, 2.91886139, 20.38238525, -10.00000000, 6.01000023, 1.28999996, 8.14999962, 5.44000006, 0.11000000, 56.27748871
2607.00000000, 0.00000000, 3.00000000, 36.24252319, 0.55508292, 1.52236080, 16.71237183, -9.13000011, 6.01999998, -0.06000000, 8.32999992, 5.15999985, 0.25000000, 58.22394562
290722032.00000000, 286330880.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
667428.00000000, 36.00000000, 33.00000000, 0.00000000, 0.00000000, 0.00000000, 774471850185511787298816.00000000, -0.14500147, -0.00000000, -0.00000000, 0.00000000, -0.00000000, -272007689717982838128640.00000000, 29703757224393214147588135789264896.00000000
2607.00000000, 0.00000000, 3.00000000, 45.64567566, 0.55508292, 2.56955051, 13.20590210, -5.28000021, 5.11000013, -1.62000000, 8.78999996, 4.30000019, 0.44999999, 63.93247223
2607.00000000, 0.00000000, 3.00000000, 48.28207397, 0.99186671, 3.61780691, 13.09732056, -7.69000006, 5.21999979, -1.13999999, 8.90999985, 4.05999994, 0.41000000, 65.50276184
2607.00000000, 0.00000000, 4.00000000, 50.78665161, 0.55508292, -0.56106716, 12.22424316, -6.51999998, 5.42000008, -0.95999998, 9.00000000, 3.85999990, 0.31000000, 66.78603363
2607.00000000, 0.00000000, 4.00000000, 53.11547852, 0.55508292, -6.44954443, 12.22134399, -6.44999981, 5.84000015, -0.38000000, 9.06999969, 3.70000005, 0.14000000, 67.80755615
2607.00000000, 0.00000000, 4.00000000, 54.78520203, 0.99186671, -9.98138142, 12.49813843, -6.36999989, 6.09000015, 0.76999998, 9.10999966, 3.59999990, -0.05000000, 68.43753815
2607.00000000, 0.00000000, 4.00000000, 55.75187683, 1.78044188, -14.64921570, 12.51876831, -5.13000011, 4.94000006, 1.67999995, 9.11999989, 3.56999993, -0.27000001, 68.62226105
2607.00000000, 0.00000000, 4.00000000, 55.68597412, 2.13242364, -18.98373413, 11.95361328, -4.53000021, 3.97000003, 2.42000008, 9.10000038, 3.60999990, -0.50000000, 68.36161041
2607.00000000, 0.00000000, 4.00000000, 54.63140869, 2.57414269, -24.59172249, 10.74749756, -4.38999987, 3.28999996, 3.46000004, 9.02000046, 3.75999999, -0.69999999, 67.37111664
2607.00000000, 0.00000000, 4.00000000, 52.89578247, 3.73429561, -23.88136673, 11.24942017, -4.86999989, 3.33999991, 4.67999983, 8.89000034, 4.03000021, -0.88000000, 65.61432648
2607.00000000, 0.00000000, 3.00000000, 49.81997681, 3.64434052, -17.23461723, 10.44891357, -4.67000008, 2.74000001, 5.30999994, 8.68999958, 4.42000008, -1.00999999, 63.04071045
2607.00000000, 0.00000000, 3.00000000, 46.34872437, 2.39723992, -2.38844252, 9.53741455, -4.57000017, 2.26999998, 5.25000000, 8.40999985, 4.90999985, -1.08000004, 59.72237778
