TIME_SYSTEM_ON,ACTIVITY,GAIT_SUBPHASE,ACTUATOR_POSITION,TORQUE_ESTIMATE,ACTUATOR_SETPOINT,LOADCELL,LINEAR_ACC_X_LOCAL,LINEAR_ACC_Y_LOCAL,LINEAR_ACC_Z_LOCAL,GRAVITY_VECTOR_X,GRAVITY_VECTOR_Y,GRAVITY_VECTOR_Z,KNEE_ANGLE
636196.00000000, 16777252.00000000, 33.00000000, -64.31301880, 28340.13281250, 0.00000000, 0.00000000, -0.00000000, 0.00000000, 0.00000000, -0.00000549, -122502549385338712396714414101833449472.00000000, 321869563496623302974111744.00000000, 0.00000000
2485.00000000, 65536.00000000, 1.00000000, 24.92796326, 5.93961143, 23.75844383, 34.21588135, -3.99000001, 1.87000000, 0.27000001, 5.92000008, 7.80999994, -0.11000000, 37.16222000
2485.00000000, 0.00000000, 3.00000000, 26.92724609, 4.91669846, 20.03511810, 24.04147339, -5.46999979, 2.55999994, 0.72000003, 6.13000011, 7.65000010, 0.00000000, 38.70544434
2485.00000000, 0.00000000, 3.00000000, 30.53031921, 3.46487522, 14.21830559, 19.12576294, -8.02999973, 4.09999990, 0.75999999, 6.34999990, 7.46000004, 0.10000000, 40.40463257
2485.00000000, 0.00000000, 3.00000000, 34.46295166, 2.30888700, 9.23554802, 16.47924805, -9.43999958, 5.57999992, 1.79999995, 6.59000015, 7.25000000, 0.17000000, 42.26974487
2485.00000000, 0.00000000, 3.00000000, 38.81300354, -0.14278319, -0.57113278, 15.81741333, -7.40000010, 4.90000010, -0.17000000, 6.86000013, 6.98999977, 0.23000000, 44.46221924
2485.00000000, 0.00000000, 3.00000000, 43.05322266, -0.75367421, -2.66535878, 14.53646851, -6.69999981, 3.68000007, -1.16999996, 7.11999989, 6.71999979, 0.25000000, 46.65547943
2485.00000000, 0.00000000, 3.00000000, 46.74418640, -0.23002186, -1.26907492, 14.42749023, -5.13999987, 3.98000002, 0.02000000, 7.34000015, 6.48000002, 0.23999999, 48.56084061
2485.00000000, 0.00000000, 4.00000000, 49.97377014, 0.03168200, -3.54560184, 14.09906006, -3.29999995, 1.02999997, 1.13999999, 7.53000021, 6.26000023, 0.20000000, 50.26184464
2485.00000000, 0.00000000, 4.00000000, 52.74198914, 0.29333544, -7.14418030, 13.89248657, -2.94000006, 0.68000001, 0.80000001, 7.67999983, 6.09000015, 0.16000000, 51.58667755
