TIME_SYSTEM_ON,ACTIVITY,GAIT_SUBPHASE,ACTUATOR_POSITION,TORQUE_ESTIMATE,ACTUATOR_SETPOINT,LOADCELL,LINEAR_ACC_X_LOCAL,LINEAR_ACC_Y_LOCAL,LINEAR_ACC_Z_LOCAL,GRAVITY_VECTOR_X,GRAVITY_VECTOR_Y,GRAVITY_VECTOR_Z,KNEE_ANGLE
1125156.00000000, 36.00000000, 33.00000000, -1027431128397629986970428322133049344.00000000, 0.00157643, 0.00000000, -0.00000000, 0.00000000, -0.00000000, -12.48004532, 0.00000000, 0.00000000, -0.00000000, 55945781275227029453752238080.00000000
4395.00000000, 0.00000000, 3.00000000, 32.17807007, 0.81706899, 2.91886139, 6.31213379, 0.18000001, -0.67000002, 1.40999997, -2.32999992, 9.44999981, -1.12000000, -13.85063362
4395.00000000, 0.00000000, 3.00000000, 33.10081482, 0.64238763, 2.56955051, 5.70681763, 0.15000001, -0.88000000, 1.29999995, -2.14000010, 9.50000000, -1.11000001, -12.69473171
4395.00000000, 0.00000000, 3.00000000, 34.02354431, 0.72971535, 3.61780691, 6.56921387, -0.16000000, -0.36000001, 1.05999994, -1.92999995, 9.53999996, -1.10000002, -11.43692112
4395.00000000, 0.00000000, 3.00000000, 34.88038635, 0.64238763, 2.22033167, 6.51602173, -0.13000000, -0.25000000, 0.92000002, -1.71000004, 9.57999992, -1.10000002, -10.12052917
4395.00000000, 0.00000000, 3.00000000, 35.80311584, 0.64238763, 1.87143397, 5.65090942, -0.23000000, -0.69999999, 0.97000003, -1.46000004, 9.61999989, -1.11000001, -8.62976170
4395.00000000, 0.00000000, 3.00000000, 36.90161133, 0.38059020, 1.52236080, 6.48031616, -0.07000000, -0.91000003, 0.79000002, -1.21000004, 9.65999985, -1.11000001, -7.13961506
4395.00000000, 0.00000000, 3.00000000, 37.78042603, 0.20609112, 0.82436442, 5.78909302, -0.10000000, -1.21000004, 0.52999997, -0.94999999, 9.68999958, -1.12000000, -5.59933853
4395.00000000, 0.00000000, 3.00000000, 38.50543213, -1.27829289, -5.11317158, 14.21084595, 0.08000000, -1.50000000, 0.49000001, -0.68000001, 9.71000004, -1.13000000, -4.00593328
4395.00000000, 0.00000000, 3.00000000, 38.85694885, -1.10325086, -4.41300344, 37.68646240, -2.53999996, 1.97000003, 1.07000005, -0.41999999, 9.72000027, -1.13999999, -2.47420382
4395.00000000, 0.00000000, 3.00000000, 39.01074219, 5.75186872, 21.88724899, 49.26040649, -9.64000034, 10.75000000, 6.48999977, -0.22000000, 9.72999954, -1.13999999, -1.29526436
4395.00000000, 65536.00000000, 0.00000000, 40.19711304, 7.47314501, -12.33447838, 58.24218750, -1.46000004, 6.17000008, -0.28999999, -0.11000000, 9.73999977, -1.09000003, -0.64704996
4395.00000000, 65536.00000000, 0.00000000, 41.25167847, 10.53518486, -22.65111732, 88.73693848, 1.17999995, -5.00000000, 1.86000001, 0.08000000, 9.73999977, -1.05999994, 0.47059125
4395.00000000, 65536.00000000, 0.00000000, 41.40547180, 18.22384453, -29.21323586, 99.44683838, -2.00000000, 2.23000002, 2.15000010, 0.30000001, 9.73999977, -1.05999994, 1.76419914
4395.00000000, 65536.00000000, 0.00000000, 41.38349915, 23.95792198, -31.76030731, 111.68331909, -0.51999998, 0.87000000, 3.94000006, 0.56000000, 9.72000027, -1.07000005, 3.29734588
4395.00000000, 65536.00000000, 0.00000000, 41.20773315, 26.08643723, -31.92296410, 120.30133057, 5.09000015, -0.58999997, 2.35999990, 0.82999998, 9.69999981, -1.10000002, 4.89071465
4395.00000000, 65536.00000000, 0.00000000, 40.90016174, 27.28181458, -30.39842796, 121.55847168, 2.08999991, 1.46000004, 3.31999993, 1.04999995, 9.68000031, -1.14999998, 6.19072962
4395.00000000, 65536.00000000, 0.00000000, 40.81228638, 26.08643723, -29.03658295, 119.68814087, 3.93000007, -1.12000000, 1.13999999, 1.24000001, 9.64999962, -1.21000004, 7.32223463
4395.00000000, 65536.00000000, 0.00000000, 40.65849304, 23.95792198, -26.51839256, 114.95938110, 0.27000001, 1.70000005, 4.15999985, 1.39999998, 9.60999966, -1.28999996, 8.28863049
4395.00000000, 65536.00000000, 0.00000000, 40.37287903, 20.75561523, -22.12011719, 106.65747070, 3.64000010, -1.00000000, 1.50999999, 1.53999996, 9.57999992, -1.38000000, 9.13225651
4395.00000000, 65536.00000000, 0.00000000, 40.08726501, 15.99610996, -16.72784805, 97.87036133, 3.45000005, -0.18000001, 1.63000000, 1.63000000, 9.55000019, -1.49000001, 9.68594074
4395.00000000, 65536.00000000, 0.00000000, 39.60392761, 9.79567146, -9.82067299, 89.78778076, 3.43000007, -0.46000001, 1.14999998, 1.69000006, 9.52000046, -1.60000002, 10.06633472
4395.00000000, 65536.00000000, 0.00000000, 39.23043823, 4.55012655, -2.89487338, 83.24725342, 2.25999999, -0.30000001, 0.34000000, 1.71000004, 9.50000000, -1.70000005, 10.20397091
4395.00000000, 0.00000000, 0.00000000, 38.94482422, -0.14278319, -0.07131249, 77.83218384, 0.50000000, -0.12000000, 0.01000000, 1.69000006, 9.47999954, -1.79999995, 10.10793591
4395.00000000, 0.00000000, 0.00000000, 38.74710083, -4.48389006, 7.52872276, 73.65698242, -0.38000000, 0.00000000, 0.30000001, 1.64999998, 9.47000027, -1.88000000, 9.88367748
4395.00000000, 0.00000000, 0.00000000, 38.70315552, -8.99806881, 6.93301296, 64.99380493, -1.57000005, 0.68000001, 0.51999998, 1.62000000, 9.46000004, -1.95000005, 9.71749115
4395.00000000, 0.00000000, 0.00000000, 38.57133484, -12.20963383, 9.13745308, 61.94345093, -2.08999991, 0.75000000, 1.21000004, 1.59000003, 9.46000004, -2.00999999, 9.54087543
4395.00000000, 0.00000000, 0.00000000, 38.50543213, -13.82545948, 10.10212040, 61.21130371, -2.76999998, 0.93000001, 0.81000000, 1.59000003, 9.43999958, -2.06999993, 9.56071663
4395.00000000, 0.00000000, 0.00000000, 38.41754150, -14.06307793, 10.41720200, 61.54089355, -2.52999997, 0.64999998, 0.55000001, 1.61000001, 9.43000031, -2.10999990, 9.68878460
4395.00000000, 0.00000000, 0.00000000, 38.28573608, -13.23894024, 10.03770161, 61.62313843, -2.88000011, 0.64999998, 0.34000000, 1.65999997, 9.40999985, -2.15000010, 10.00450516
4395.00000000, 0.00000000, 0.00000000, 38.26376343, -12.09728336, 10.06394863, 61.99993896, -1.95000005, 0.61000001, 0.41000000, 1.74000001, 9.39000034, -2.18000007, 10.49803066
4395.00000000, 0.00000000, 0.00000000, 38.19784546, -10.77903271, 8.47196960, 61.74569702, -1.15999997, 0.56000000, 0.51999998, 1.84000003, 9.36999989, -2.20000005, 11.10988522
4395.00000000, 0.00000000, 0.00000000, 38.10997009, -9.92908192, 7.62207508, 61.99807739, -1.16999996, 0.57999998, 0.85000002, 1.95000005, 9.34000015, -2.21000004, 11.79278278
4395.00000000, 0.00000000, 0.00000000, 38.13194275, -8.89624500, 4.73247099, 62.09948730, -0.82999998, 0.47999999, 0.75999999, 2.06999993, 9.31999969, -2.21000004, 12.52229500
4395.00000000, 0.00000000, 0.00000000, 38.08799744, -8.39121151, 5.37983274, 61.05502319, 0.34000000, 0.10000000, 0.91000003, 2.20000005, 9.28999996, -2.21000004, 13.32299328
4395.00000000, 0.00000000, 0.00000000, 38.15391541, -8.99806881, 5.88193369, 61.48843384, 1.09000003, 0.08000000, 0.68000001, 2.31999993, 9.26000023, -2.19000006, 14.06535244
4395.00000000, 0.00000000, 0.00000000, 38.06602478, -10.03415298, 6.29064798, 61.61718750, 0.80000001, 0.28999999, 0.63999999, 2.44000006, 9.23999977, -2.17000008, 14.79238605
4396.00000000, 0.00000000, 0.00000000, 37.95617676, -11.76265621, 9.34310532, 61.33224487, 0.88000000, 0.23999999, 0.47999999, 2.53999996, 9.22000027, -2.14000010, 15.40224171
288105489.00000000, 9233.00000000, 1.00000000, -0.00000000, 0.00000000, -624606826393399455645696.00000000, -3014698618604455676622084767744.00000000, 126844149760.00000000, -152024679186432.00000000, 0.00000000, -0.00000000, 0.00000004, 271849685428656171646976.00000000, 44053550858240.00000000
4396.00000000, 0.00000000, 0.00000000, 37.69253540, -16.67123795, 14.56145954, 61.59170532, 0.68000001, 0.34000000, 0.92000002, 2.69000006, 9.19999981, -2.05999994, 16.29846001
4396.00000000, 0.00000000, 0.00000000, 37.42889404, -20.64986992, 18.25028801, 61.72906494, 0.58999997, 0.28999999, 1.07000005, 2.74000001, 9.18999958, -2.00000000, 16.60195351
4396.00000000, 0.00000000, 0.00000000, 37.25314331, -25.29909134, 19.29170799, 61.28909302, 0.81999999, -0.02000000, 1.09000003, 2.76999998, 9.18999958, -1.95000005, 16.77357292
4396.00000000, 0.00000000, 0.00000000, 37.14329529, -29.83150291, 20.93567657, 61.49548340, -0.72000003, 0.17000000, 0.98000002, 2.79999995, 9.19999981, -1.88000000, 16.92751312
4396.00000000, 0.00000000, 0.00000000, 36.65994263, -32.87779999, 30.50660515, 60.16146851, -1.65999997, 0.49000001, 1.13999999, 2.82999992, 9.19999981, -1.82000005, 17.09835052
4396.00000000, 0.00000000, 0.00000000, 36.46221924, -36.55818939, 27.96702003, 60.02935791, -1.54999995, 0.91000003, 1.38000000, 2.88000011, 9.19999981, -1.74000001, 17.38238525
4396.00000000, 0.00000000, 0.00000000, 35.95690918, -37.84755707, 33.92227173, 59.95828247, -1.82000005, 0.88999999, 1.45000005, 2.93000007, 9.19999981, -1.66999996, 17.66554451
4396.00000000, 0.00000000, 0.00000000, 35.84706116, -38.94673157, 26.96229935, 59.68484497, -3.03999996, 1.07000005, 1.39999998, 3.00999999, 9.18999958, -1.59000003, 18.13516617
4396.00000000, 0.00000000, 0.00000000, 35.42962646, -38.50427246, 29.32000351, 59.62295532, -3.00999999, 0.87000000, 1.63000000, 3.10999990, 9.17000008, -1.51999998, 18.73433304
4396.00000000, 0.00000000, 0.00000000, 35.23190308, -38.72504425, 31.23094368, 59.11776733, -0.28000000, 1.99000001, 0.74000001, 3.24000001, 9.14000034, -1.44000006, 19.51869011
4396.00000000, 0.00000000, 0.00000000, 35.14401245, -36.77088547, 23.08910561, 58.86743164, -2.03999996, 2.43000007, -0.46000001, 3.36999989, 9.10000038, -1.37000000, 20.32108307
4396.00000000, 0.00000000, 0.00000000, 34.88038635, -32.09694672, 26.45279312, 58.27893066, -3.13000011, 1.92999995, -1.37000000, 3.51999998, 9.05000019, -1.27999997, 21.25355530
4396.00000000, 0.00000000, 0.00000000, 34.83644104, -26.30133247, 19.29399300, 59.16082764, -1.49000001, 3.04999995, -0.02000000, 3.69000006, 9.00000000, -1.19000006, 22.29362488
4396.00000000, 0.00000000, 0.00000000, 34.85841370, -18.53349876, 9.83409405, 59.06686401, -3.20000005, 4.88999987, 0.06000000, 3.86999989, 8.93999958, -1.07000005, 23.40710449
4396.00000000, 0.00000000, 0.00000000, 34.92431641, -10.56450844, 6.36255741, 58.88726807, -3.30999994, 4.90000010, -0.09000000, 4.07000017, 8.86999989, -0.94000000, 24.64802170
4396.00000000, 0.00000000, 1.00000000, 34.85841370, -4.12025070, -6.01017427, 57.29290771, -1.16999996, 2.09999990, 0.33000001, 4.28000021, 8.77999973, -0.80000001, 25.98791695
4396.00000000, 65536.00000000, 1.00000000, 34.83644104, 1.07925630, 2.91886139, 44.87960815, -0.69000000, 0.33000001, 0.68000001, 4.48000002, 8.68999958, -0.64999998, 27.27269173
