TIME_SYSTEM_ON,ACTIVITY,GAIT_SUBPHASE,ACTUATOR_POSITION,TORQUE_ESTIMATE,ACTUATOR_SETPOINT,LOADCELL,LINEAR_ACC_X_LOCAL,LINEAR_ACC_Y_LOCAL,LINEAR_ACC_Z_LOCAL,GRAVITY_VECTOR_X,GRAVITY_VECTOR_Y,GRAVITY_VECTOR_Z,KNEE_ANGLE
873564208.00000000, 1140960272.00000000, 16.00000000, 518.71972656, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4274.00000000, 0.00000000, 3.00000000, 20.09457397, 8.46406078, 30.67683029, 4.26870728, 2.03999996, 0.10000000, -1.02999997, -1.83000004, 9.63000011, -0.07000000, -10.75968933
4274.00000000, 0.00000000, 3.00000000, 19.08395386, 13.91150379, 57.07844162, 4.68170166, 0.52999997, -0.82999998, 0.34000000, -2.50999999, 9.47000027, -0.18000001, -14.84476852
4274.00000000, 0.00000000, 3.00000000, 21.69837952, -0.40452692, 1.87143397, 5.64132690, -3.96000004, 1.09000003, 1.95000005, -2.79999995, 9.38000011, -0.25999999, -16.62075424
4274.00000000, 0.00000000, 3.00000000, 24.70826721, -9.71993446, -39.71632767, 3.94586182, 6.80000019, -1.15999997, -2.94000006, -3.02999997, 9.31000042, -0.37000000, -18.02781105
4274.00000000, 0.00000000, 3.00000000, 24.92796326, -0.66633970, -4.41300344, 6.34344482, 0.07000000, -0.69000000, -0.70999998, -3.14000010, 9.27000046, -0.44999999, -18.71262932
4274.00000000, 0.00000000, 3.00000000, 24.44462585, 0.55508292, 2.91886139, 11.92874146, 1.29999995, 1.57000005, 1.96000004, -3.03999996, 9.30000019, -0.56000000, -18.10161781
4274.00000000, 0.00000000, 3.00000000, 24.48857117, 1.78044188, 6.77038860, 8.17285156, 9.80000019, -5.30000019, 2.31999993, -2.93000007, 9.31999969, -0.63999999, -17.45198441
4275.00000000, 0.00000000, 3.00000000, 24.73023987, 0.20609112, 1.52236080, 7.38925171, 3.23000002, -4.23000002, 1.90999997, -2.95000005, 9.31999969, -0.69999999, -17.56380653
4275.00000000, 0.00000000, 3.00000000, 25.19160461, 1.42947268, 5.01710081, 7.29629517, -2.00999999, -2.24000001, 2.51999998, -2.85999990, 9.34000015, -0.75000000, -17.02509880
4275.00000000, 0.00000000, 3.00000000, 25.82873535, 0.90445173, 3.26827598, 6.99038696, -0.94000000, -1.13000000, 1.38999999, -2.78999996, 9.35999966, -0.76999998, -16.59810066
4275.00000000, 0.00000000, 3.00000000, 26.64163208, -0.31726873, -1.61810756, 7.28024292, 2.61999989, -2.31999993, 1.00999999, -2.72000003, 9.38000011, -0.80000001, -16.17103004
4275.00000000, 0.00000000, 3.00000000, 27.12496948, -0.92842680, -4.41300344, 6.73104858, 2.74000001, -1.66999996, 1.45000005, -2.68000007, 9.39000034, -0.82999998, -15.92927361
4275.00000000, 0.00000000, 3.00000000, 27.25679016, -1.10325086, -4.06316137, 6.97802734, 3.40000010, -0.38999999, 1.30999994, -2.63000011, 9.39999962, -0.83999997, -15.63093853
4275.00000000, 0.00000000, 3.00000000, 27.12496948, -0.92842680, -3.36414218, 6.64627075, 3.95000005, 0.05000000, 0.89999998, -2.55999994, 9.42000008, -0.85000002, -15.20364189
4275.00000000, 0.00000000, 3.00000000, 26.83935547, -0.05554960, -0.57113278, 6.67578125, 3.25000000, -0.22000000, 0.34999999, -2.49000001, 9.43999958, -0.86000001, -14.77642059
4275.00000000, 0.00000000, 3.00000000, 26.68556213, 0.29333544, 1.17334175, 6.27520752, 2.77999997, -0.49000001, 0.10000000, -2.41000009, 9.46000004, -0.88000000, -14.29246807
4275.00000000, 0.00000000, 3.00000000, 26.59768677, -0.23002186, -0.57113278, 23.74761963, 2.10999990, -1.41999996, 0.09000000, -2.30999994, 9.47999954, -0.89999998, -13.69443703
4275.00000000, 65536.00000000, 0.00000000, 26.57571411, 0.72971535, -0.22835411, 64.05273438, 1.04999995, -0.99000001, 0.58999997, -2.20000005, 9.50000000, -0.93000001, -13.03865528
4275.00000000, 65536.00000000, 0.00000000, 26.75148010, 10.74959183, -5.94019175, 88.61956787, -10.96000004, 10.21000004, 11.10000038, -2.14000010, 9.52000046, -0.88999999, -12.66892338
4275.00000000, 65536.00000000, 0.00000000, 27.30073547, 20.46494293, -16.93790817, 76.17712402, -5.75000000, 7.80999994, 0.72000003, -1.98000002, 9.56000042, -0.79000002, -11.70125484
4275.00000000, 65536.00000000, 0.00000000, 27.84997559, 21.49282837, -22.47181320, 86.12304688, 6.17000008, -2.78999996, 2.40000010, -1.71000004, 9.60999966, -0.79000002, -10.08958530
