TIME_SYSTEM_ON,ACTIVITY,GAIT_SUBPHASE,ACTUATOR_POSITION,TORQUE_ESTIMATE,ACTUATOR_SETPOINT,LOADCELL,LINEAR_ACC_X_LOCAL,LINEAR_ACC_Y_LOCAL,LINEAR_ACC_Z_LOCAL,GRAVITY_VECTOR_X,GRAVITY_VECTOR_Y,GRAVITY_VECTOR_Z,KNEE_ANGLE
344990737.00000000, 9233.00000000, 1.00000000, -0.00000000, 506359497883648.00000000, -0.00000000, -0.00000000, -495057212156006941121392964272128.00000000, 406702026310406951395114614784.00000000, -152024679186432.00000000, 190576168599027712.00000000, 0.00000000, -0.00000000, 0.00000000
5264.00000000, 0.00000000, 3.00000000, 23.17036438, 0.72971535, 2.91886139, 7.43667603, 1.51999998, -1.63999999, -0.57999998, -2.57999992, 9.35999966, 1.29999995, -15.41038990
5264.00000000, 0.00000000, 3.00000000, 23.67567444, 0.29333544, 1.17334175, 7.84750366, 0.31000000, -0.88999999, -0.77999997, -2.41000009, 9.39999962, 1.34000003, -14.37992573
5264.00000000, 0.00000000, 3.00000000, 24.09310913, 0.55508292, 1.17334175, 7.75039673, -0.37000000, 0.04000000, -1.09000003, -2.24000001, 9.43999958, 1.38000000, -13.34872532
5264.00000000, 0.00000000, 3.00000000, 24.59841919, 0.29333544, 1.17334175, 8.07357788, 0.57999998, -0.91000003, -1.35000002, -2.02999997, 9.47999954, 1.41999996, -12.08649826
5264.00000000, 0.00000000, 3.00000000, 25.01585388, -2.24482107, -7.92162752, 17.59533691, 0.44999999, -1.54999995, -1.45000005, -1.80999994, 9.52000046, 1.45000005, -10.76493359
5264.00000000, 0.00000000, 3.00000000, 24.92796326, -2.24482107, -9.68596172, 47.08245850, -7.36000013, 3.84999990, 2.09999990, -1.58000004, 9.56000042, 1.48000002, -9.38455105
5264.00000000, 65536.00000000, 0.00000000, 24.40069580, 4.55012655, -2.67532468, 72.39166260, -10.21000004, 11.32999992, 1.20000005, -1.48000002, 9.56999969, 1.51999998, -8.79114532
5264.00000000, 65536.00000000, 0.00000000, 24.31280518, 9.79567146, -5.75245571, 79.53466797, -3.07999992, 4.90000010, -0.34999999, -1.38999999, 9.56999969, 1.55999994, -8.26416588
5264.00000000, 65536.00000000, 0.00000000, 24.48857117, 9.90031910, -5.94019175, 88.24496460, 2.30999994, -3.47000003, -1.54999995, -1.23000002, 9.59000015, 1.59000003, -7.30877399
5264.00000000, 65536.00000000, 0.00000000, 24.73023987, 10.32217407, -6.06636572, 96.89355469, 2.03999996, 1.23000002, 2.27999997, -1.07000005, 9.60999966, 1.58000004, -6.35327864
5264.00000000, 65536.00000000, 0.00000000, 25.14767456, 12.29141426, -10.64674282, 96.91143799, -4.25000000, 5.34000015, 3.47000003, -0.94999999, 9.63000011, 1.54999995, -5.63400078
5264.00000000, 65536.00000000, 0.00000000, 25.60903931, 12.51789188, -14.18956757, 98.25140381, 0.93000001, 1.19000006, 0.89999998, -0.81999999, 9.64999962, 1.49000001, -4.85698843
5264.00000000, 65536.00000000, 0.00000000, 25.69691467, 12.40445232, -15.45980930, 97.65905762, 2.20000005, 1.00000000, 0.69999999, -0.66000003, 9.68000031, 1.39999998, -3.90049291
5264.00000000, 65536.00000000, 0.00000000, 25.63101196, 11.51122475, -14.28869247, 95.87405396, 2.44000006, 0.25999999, -0.44999999, -0.51999998, 9.69999981, 1.29999995, -3.06858850
5264.00000000, 65536.00000000, 0.00000000, 25.43327332, 8.76683426, -11.77071476, 95.08987427, 2.75999999, -0.46000001, -2.00999999, -0.41000000, 9.72000027, 1.20000005, -2.41536498
5264.00000000, 65536.00000000, 0.00000000, 25.05978394, 5.19340658, -6.15112829, 95.79672241, 2.01999998, 0.31000000, -3.21000004, -0.33000001, 9.72999954, 1.10000002, -1.94248331
5264.00000000, 65536.00000000, 0.00000000, 24.73023987, 0.81706899, -0.64755380, 100.76330566, 1.80999994, -0.28000000, -4.67000008, -0.28000000, 9.73999977, 1.01999998, -1.64665294
5264.00000000, 0.00000000, 0.00000000, 24.44462585, -4.84998369, 10.34810543, 109.32061768, 1.48000002, -0.30000001, -3.92000008, -0.27000001, 9.75000000, 0.98000002, -1.58624661
5264.00000000, 0.00000000, 0.00000000, 24.40069580, -12.32238102, 9.11344051, 113.73806763, 0.92000002, -0.73000002, -2.72000003, -0.27000001, 9.75000000, 0.97000003, -1.58624661
5264.00000000, 0.00000000, 0.00000000, 24.26887512, -13.47220421, 9.90774822, 115.42419434, -0.40000001, 0.10000000, -1.13999999, -0.30000001, 9.75000000, 0.99000001, -1.76239085
5264.00000000, 0.00000000, 0.00000000, 24.20295715, -13.12290764, 10.47510624, 116.37271118, -11.06000042, 2.84999990, 0.15000001, -0.34000000, 9.73999977, 1.00999999, -1.99924624
5264.00000000, 0.00000000, 0.00000000, 24.11508179, -13.12290764, 10.73419762, 116.15036011, 1.05999994, -1.00000000, 0.02000000, -0.31999999, 9.73999977, 1.02999997, -1.88173044
5264.00000000, 0.00000000, 0.00000000, 24.09310913, -13.12290764, 7.02295923, 114.02514648, -5.26000023, 0.77999997, 0.81000000, -0.28999999, 9.73999977, 1.03999996, -1.70542765
5264.00000000, 0.00000000, 0.00000000, 24.00523376, -12.66303635, 9.37873650, 112.93453979, -4.65000010, 0.77999997, -0.36000001, -0.25000000, 9.73999977, 1.03999996, -1.47030795
1410396273.00000000, 286261248.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.00000000, -0.00000000, -0.00000000, -0.00000000, -0.00000001, -0.00000003, -0.00000013, -0.00000000
5264.00000000, 0.00000000, 0.00000000, 23.93931580, -12.32238102, 7.41321135, 109.23953247, -0.95999998, 0.09000000, -1.14999998, -0.11000000, 9.75000000, 1.02999997, -0.64638633
5264.00000000, 0.00000000, 0.00000000, 23.93931580, -11.65186024, 8.17258072, 107.61944580, -0.56999999, -0.04000000, -1.17999995, -0.03000000, 9.75000000, 1.02999997, -0.17629413
5264.00000000, 0.00000000, 0.00000000, 23.82946777, -11.10361481, 8.40554047, 103.35995483, 0.50999999, 0.00000000, -1.15999997, 0.03000000, 9.75000000, 1.02999997, 0.17629413
5264.00000000, 0.00000000, 0.00000000, 23.74159241, -10.67163181, 8.54568291, 100.69638062, -0.50999999, 0.14000000, -1.00999999, 0.11000000, 9.75000000, 1.02999997, 0.64638633
